G01,118,630,0,0,1783951200,1783951200,1783950006,2.65596310245901E+07,1.80683098733425E-03,9.57124605910218E-01,7.55055388916243E-01,1.91771154392618E-01,-2.47792625447752E+00,4.68269505304487E-09,-8.26855870437355E-09,3.04298389535064E-10,3.20281250000000E+02,1.46281250000000E+02,7.55116343498230E-06,3.06591391563416E-06,5.58793544769287E-09,-3.72529029846191E-08,1.36800000000000E+05,4.00000000000000E+00,2.23486684262753E-04,-9.66338120633736E-12,0.00000000000000E+00,-8.84756445884705E-09,1,0
G02,31,31,0,0,1783951200,1783951200,1783948236,2.65609429937214E+07,1.68980917660519E-02,9.62172659290475E-01,5.93122951803112E-01,-7.40344785029115E-01,-1.06784468737746E+00,4.58947688441969E-09,-8.30820321286932E-09,4.59662003910361E-10,2.90687500000000E+02,1.47531250000000E+02,7.59400427341461E-06,5.02355396747589E-06,-1.67638063430786E-07,-1.43423676490784E-07,1.36800000000000E+05,4.00000000000000E+00,1.37112103402615E-04,7.27595761418342E-12,0.00000000000000E+00,-1.72294676303864E-08,1,0
G04,147,403,0,0,1783951200,1783951200,1783946406,2.65605293702018E+07,3.79606417845935E-03,9.72534135001814E-01,2.81578987080187E+00,-2.89999254179253E+00,-1.58859199523306E+00,3.76265672975575E-09,-7.54352850395550E-09,3.92873507615693E-11,1.71812500000000E+02,-1.45562500000000E+02,-7.60331749916077E-06,1.10380351543427E-05,-6.89178705215454E-08,-9.68575477600098E-08,1.36800000000000E+05,4.00000000000000E+00,6.22584484517574E-05,7.95807864051312E-13,0.00000000000000E+00,-4.65661287307739E-09,1,0
G07,18,18,0,0,1783951200,1783951200,1783950516,2.65594051577880E+07,2.09232526831329E-02,9.51182421388667E-01,-2.46039496459465E+00,-1.95632739810008E+00,2.21505457649699E+00,4.66269421992988E-09,-7.62960351789676E-09,7.08600944645032E-10,1.96750000000000E+02,-2.46875000000000E+00,-3.93018126487732E-07,9.01520252227783E-06,1.21071934700012E-07,-3.46451997756958E-07,1.36800000000000E+05,4.00000000000000E+00,-2.05410178750753E-04,-3.75166564481333E-12,0.00000000000000E+00,-1.07102096080780E-08,1,0
G09,77,77,0,0,1783951200,1783951200,1783950516,2.65607772608251E+07,3.63814004231244E-03,9.66791000965800E-01,2.75068212822020E+00,2.03217871011454E+00,-7.11827129588585E-01,3.97587989707081E-09,-7.77853829305653E-09,2.14294640517651E-12,1.76531250000000E+02,-1.51843750000000E+02,-7.91810452938080E-06,1.05667859315872E-05,-6.89178705215454E-08,4.84287738800049E-08,1.36800000000000E+05,4.00000000000000E+00,7.21643213182688E-04,-6.70752342557534E-12,0.00000000000000E+00,4.65661287307739E-10,1,0
E09,91,91,107,0,1783945200,1783945200,1783947175,2.96005270752355E+07,5.17071224749088E-04,9.75191354531387E-01,2.97970269230310E+00,3.31941852676262E-01,5.08645954414231E-01,2.33402579297141E-09,-5.01878048092338E-09,2.53581991279220E-10,4.75000000000000E+01,-1.82406250000000E+02,-8.42660665512085E-06,1.38860195875168E-05,-1.45286321640015E-07,2.42143869400024E-08,1.30800000000000E+05,0.00000000000000E+00,-3.10992065351456E-04,1.23776544569409E-11,3.46944695195362E-18,2.32830643653870E-10,512,0
E10,94,94,107,0,1783947000,1783947000,1783948225,2.96001219510904E+07,2.76998383924365E-04,9.97409026409458E-01,8.92048433100696E-01,2.30284096522102E+00,1.23078089987901E+00,2.80261674023668E-09,-5.69095133668041E-09,3.10727228750594E-10,3.69062500000000E+02,1.86468750000000E+02,8.66129994392395E-06,-5.32716512680054E-07,4.65661287307739E-08,-3.16649675369263E-08,1.32600000000000E+05,0.00000000000000E+00,-8.05626390501857E-04,-2.65742983174277E-12,0.00000000000000E+00,-1.62981450557709E-09,512,0
E11,94,94,107,0,1783947000,1783947000,1783948255,2.96001876382955E+07,4.18706797063351E-04,9.94491752710442E-01,8.93523212519750E-01,1.31477356020188E+00,1.79035084976777E+00,2.85333313849252E-09,-5.70416617284567E-09,3.44300055765026E-10,3.68156250000000E+02,1.88812500000000E+02,8.78795981407166E-06,-4.63798642158508E-07,5.02914190292358E-08,-2.98023223876953E-08,1.32600000000000E+05,0.00000000000000E+00,5.47057139920071E-03,7.17363946023397E-11,-3.46944695195362E-18,-1.51339918375015E-08,512,0
E36,97,97,107,0,1783948800,1783948800,1783949995,2.96001919551823E+07,9.85875958576798E-05,9.97595661109257E-01,8.93991852474771E-01,4.82179728515403E-01,2.09041035736496E+00,2.79225916594499E-09,-5.72881005650520E-09,4.12517182996478E-10,3.79500000000000E+02,2.04250000000000E+02,9.60752367973328E-06,-8.81031155586243E-07,2.79396772384644E-08,-8.19563865661621E-08,1.34400000000000E+05,0.00000000000000E+00,-5.93277451116592E-04,-5.37170308234636E-12,0.00000000000000E+00,3.72529029846191E-09,512,0
R09,67,-2,0,5,0,1783950318,1783950556,1.65090112304688E+07,1.94129218750000E+07,-1.90989257812500E+06,2.48681068420410E+02,1.40823364257812E+02,3.52139091491699E+03,-1.86264514923096E-06,-2.79396772384644E-06,0.00000000000000E+00,-3.37947160005569E-04,2.72848410531878E-12,-3.72529029846191E-09
R20,63,2,0,5,0,1783946718,1783947188,2.23163369140625E+07,8.73506787109375E+06,-8.76797021484375E+06,-1.14801979064941E+03,-3.90394210815430E+02,-3.30121707916260E+03,9.31322574615479E-07,-2.79396772384644E-06,2.79396772384644E-06,-2.35184095799923E-04,9.09494701772928E-13,1.86264514923096E-09
R21,67,4,0,3,0,1783950318,1783949667,2.46066899414062E+07,9.22664550781250E+05,-6.58266943359375E+06,-9.15731430053711E+02,-1.14568710327148E+02,-3.44425201416016E+03,9.31322574615479E-07,-2.79396772384644E-06,3.72529029846191E-06,3.25495377182961E-04,-3.63797880709171E-12,9.31322574615479E-10
R22,65,-3,0,6,0,1783948518,1783948751,1.55418793945312E+07,-8.04732324218750E+06,1.85803012695312E+07,2.53876876831055E+03,6.19592666625977E+01,-2.09926033020020E+03,6.51925802230835E-06,-2.79396772384644E-06,1.86264514923096E-06,-1.35429203510284E-04,1.81898940354586E-12,3.72529029846191E-09
IONUTC,7.45058059692383E-09,2.23517417907715E-08,-5.96046447753906E-08,-1.19209289550781E-07,9.01120000000000E+04,1.14688000000000E+05,-6.55360000000000E+04,-5.24288000000000E+05,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0
ALM,G01,0,2427,2.65591561136713E+07,1.81150436401367E-03,9.57140495248644E-01,7.54276629346351E-01,1.92142328893525E-01,-9.43712021439379E-01,-7.93175896102664E-09,2.33472000000000E+05,3.52859497070312E-05,-1.09139364212751E-11
ALM,G02,0,2427,2.65605200121520E+07,-1.43508911132812E-02,9.62173869708894E-01,5.91674665830473E-01,-7.38541342045617E-01,4.43163903761124E-01,-7.69174896364687E-09,3.19488000000000E+05,2.47955322265625E-05,7.27595761418342E-12
ALM,G03,0,2427,2.65608421187499E+07,6.97660446166992E-03,9.94633142865052E-01,1.74588959773244E+00,1.27317896197419E+00,-3.05608445987602E+00,-8.01176229348657E-09,3.19488000000000E+05,9.91821289062500E-05,-1.81898940354586E-11
ALM,G04,0,2427,2.65599865273955E+07,3.79991531372070E-03,9.72492287352406E-01,2.81434017311328E+00,-2.89946974022145E+00,-7.55474302822830E-02,-7.85175562856672E-09,3.19488000000000E+05,1.52587890625000E-05,0.00000000000000E+00
ALM,G05,0,2427,2.65608421187499E+07,5.61237335205078E-03,9.81043031822378E-01,1.68434236368881E+00,1.47755606097500E+00,4.67187780612025E-01,-8.13748181592359E-09,3.19488000000000E+05,-2.19345092773438E-05,0.00000000000000E+00
ALM,G06,0,2427,2.65604394858077E+07,3.69453430175781E-03,9.85926603471310E-01,7.07890188822055E-01,-5.45945110633802E-01,-1.75804534685675E+00,-7.55460039371558E-09,3.19488000000000E+05,-1.90734863281250E-05,7.27595761418342E-12
ALM,G07,0,2427,2.65589548032084E+07,-1.03259086608887E-02,9.51244256595208E-01,-2.46115607698374E+00,-1.95618652932947E+00,-2.53354229344021E+00,-7.72603610612970E-09,2.33472000000000E+05,-2.57492065429688E-05,-3.63797880709171E-12
ALM,G08,0,2427,2.65605200121520E+07,1.16677284240723E-02,9.41962474406010E-01,-4.16549936302554E-01,5.45700557544327E-01,1.98211964301060E-01,-7.88604277104954E-09,2.33472000000000E+05,7.24792480468750E-05,-7.27595761418342E-12
ALM,G09,0,2427,2.65601878417685E+07,3.64398956298828E-03,9.66739859397834E-01,2.74921190286512E+00,2.03285036506309E+00,8.00761939726115E-01,-7.95461705601519E-09,3.19488000000000E+05,1.12533569335938E-04,-7.27595761418342E-12
ALM,G10,0,2427,2.65596342290785E+07,1.11083984375000E-02,9.94141789643932E-01,1.74408484836310E+00,-2.26378974955256E+00,2.28721291713008E+00,-8.04604943596939E-09,2.33472000000000E+05,-2.57492065429688E-05,3.63797880709171E-12
ALM,G11,0,2427,2.65596241634467E+07,2.47335433959961E-03,9.62815025741330E-01,7.23702624570616E-01,-2.35605742061999E+00,-5.27424240056630E-01,-7.78318134360107E-09,3.19488000000000E+05,-2.67028808593750E-05,1.09139364212751E-11
ALM,G12,0,2427,2.65599865273955E+07,8.70466232299805E-03,9.58207091265221E-01,-1.34293389204987E+00,1.58736451772655E+00,2.94359752885811E+00,-8.05747848346366E-09,3.19488000000000E+05,-3.81469726562500E-05,0.00000000000000E+00
ALM,G13,255,2427,2.65588390500376E+07,2.26879119873047E-03,9.58710428711246E-01,-1.45147127194740E+00,1.82505102083774E+00,2.79790043809233E+00,-8.03462038847511E-09,3.19488000000000E+05,8.20159912109375E-05,1.81898940354586E-11
ALM,G14,0,2427,2.65594530479968E+07,7.35330581665039E-03,9.41537034421870E-01,-1.39974735725588E+00,-2.68202122241215E+00,2.82858230089221E+00,-8.21748514838351E-09,3.19488000000000E+05,1.08718872070312E-04,0.00000000000000E+00
ALM,G15,0,2427,2.65606559006348E+07,-1.42292976379395E-02,9.44742814584052E-01,2.60196809807248E+00,1.53428638562073E+00,-8.39178121674293E-01,-8.24034324337206E-09,3.19488000000000E+05,6.10351562500000E-05,3.63797880709171E-12
ALM,G16,0,2427,2.65600418887720E+07,1.50222778320312E-02,9.57284305947508E-01,-1.32617020844945E+00,9.37319935480484E-01,1.25167664094478E+00,-8.06890753095794E-09,3.19488000000000E+05,4.48226928710938E-05,7.27595761418342E-12
ALM,G17,0,2427,2.65597852137854E+07,1.25927925109863E-02,9.57589903682595E-01,-3.10565945323920E-01,-1.10020427729569E+00,1.86376044178907E-01,-7.81746848608390E-09,3.19488000000000E+05,-6.67572021484375E-06,-7.27595761418342E-12
ALM,G18,0,2427,2.65593926544402E+07,6.27136230468750E-03,9.70898385439993E-01,7.00945704996429E-01,-2.86160258557675E+00,-1.78183478230794E+00,-7.68031991615260E-09,3.19488000000000E+05,-2.28881835937500E-05,1.09139364212751E-11
ALM,G19,0,2427,2.65606860981226E+07,1.17707252502441E-02,9.56768984276578E-01,-2.66807795124180E-01,3.02491461441827E+00,1.82573112560112E+00,-7.72603610612970E-09,3.19488000000000E+05,1.02996826171875E-04,0.00000000000000E+00
ALM,G20,0,2427,2.65592769003153E+07,1.91211700439453E-03,9.62125932809272E-01,2.75413180169580E+00,-1.76052832845433E+00,2.79283223447845E+00,-7.98890419849802E-09,3.19488000000000E+05,4.38690185546875E-05,1.09139364212751E-11
ALM,G21,0,2427,2.65589195739558E+07,7.94887542724609E-04,9.64061385131487E-01,1.74811192243833E+00,-8.43756844602195E-02,2.50852410042919E+00,-8.33177562332626E-09,3.19488000000000E+05,6.48498535156250E-05,-3.63797880709171E-12
ALM,G22,0,2427,2.65601425459681E+07,1.18579864501953E-02,9.56745015826767E-01,-1.32278616294180E+00,-9.89577148180291E-01,8.01297110269545E-01,-8.05747848346366E-09,3.19488000000000E+05,4.95910644531250E-05,7.27595761418342E-12
ALM,G23,0,2427,2.65604143213501E+07,6.41536712646484E-03,9.89072462508967E-01,1.71062751397654E+00,-2.74225356227945E+00,-2.99901895143996E+00,-8.06890753095794E-09,3.19488000000000E+05,1.28746032714844E-04,3.63797880709171E-12
